№;Город;Регион;Федеральный округ;Население;Основание или первое упоминание
90;Белорецк ;Башкортостан ;Приволжский ;68804;1762
85;Белогорск ;Амурская область ;Дальневосточный ;68220;1860
495;Кунгур ;Пермский край ;Приволжский ;67857;1663
542;Лысьва ;Пермский край ;Приволжский ;67712;1785
229;Гуково ;Ростовская область ;Южный ;67268;1878
918;Ступино ;Московская область ;Центральный ;66942;1938
975;Туймазы ;Башкортостан ;Приволжский ;66849;1912
484;Кстово ;Нижегородская область ;Приволжский ;66641;15 век
180;Вольск ;Саратовская область ;Приволжский ;66520;1780
349;Ишимбай ;Башкортостан ;Приволжский ;66259;1815
316;Зеленогорск ;Красноярский край ;Сибирский ;66018;1956
896;Сосновый Бор ;Ленинградская область ;Северо-Западный ;65901;1958
139;Буйнакск ;Дагестан ;Северо-Кавказский ;65735;1834
126;Борисоглебск ;Воронежская область ;Центральный ;65585;1698
622;Наро-Фоминск ;Московская область ;Центральный ;64640;1840
135;Будённовск ;Ставропольский край ;Северо-Кавказский ;64628;1799
263;Донской ;Тульская область ;Центральный ;64561;1773
924;Сунжа ;Ингушетия ;Северо-Кавказский ;64493;1845
763;Полевской ;Свердловская область ;Уральский ;64316;1718
520;Лениногорск ;Татарстан ;Приволжский ;64145;1795
730;Павловский Посад ;Московская область ;Центральный ;63771;1328
870;Славянск-на-Кубани ;Краснодарский край ;Южный ;63768;1865
310;Заречный ;Пензенская область ;Приволжский ;63579;1958
974;Туапсе ;Краснодарский край ;Южный ;63233;1838
805;Россошь ;Воронежская область ;Центральный ;62865;17 век
212;Горно-Алтайск ;Алтай ;Сибирский ;62861;1830
494;Кумертау ;Башкортостан ;Приволжский ;62854;1947
511;Лабинск ;Краснодарский край ;Южный ;62822;1841
863;Сибай ;Башкортостан ;Приволжский ;62732;1913
420;Клинцы ;Брянская область ;Центральный ;62510;1707
802;Ржев ;Тверская область ;Центральный ;62026;1216
959;Тихорецк ;Краснодарский край ;Южный ;61825;1895
634;Нерюнгри ;Якутия ;Дальневосточный ;61746;1975
21;Алексин ;Тульская область ;Центральный ;61738;1348
799;Ревда ;Свердловская область ;Уральский ;61713;1734
17;Александров ;Владимирская область ;Центральный ;61544;14 век
255;Дмитров ;Московская область ;Центральный ;61454;1154
579;Мелеуз ;Башкортостан ;Приволжский ;61408;18 век
823;Сальск ;Ростовская область ;Южный ;61312;1812
527;Лесосибирск ;Красноярский край ;Сибирский ;61146;1975
235;Гусь-Хрустальный ;Владимирская область ;Центральный ;60773;1756
1057;Чистополь ;Татарстан ;Приволжский ;60703;18 век
728;Павлово ;Нижегородская область ;Приволжский ;60699;1566
1056;Чехов ;Московская область ;Центральный ;60677;1175
456;Котлас ;Архангельская область ;Северо-Западный ;60562;1890
81;Белебей ;Башкортостан ;Приволжский ;60183;1715
346;Искитим ;Новосибирская область ;Сибирский ;60072;1717
474;Краснотурьинск ;Свердловская область ;Уральский ;59701;1758
33;Апатиты ;Мурманская область ;Северо-Западный ;59690;1926
186;Всеволожск ;Ленинградская область ;Северо-Западный ;59689;1892
783;Прохладный ;Кабардино-Балкария ;Северо-Кавказский ;59595;1765
